#{"t_start": 1779600975.013974, "env_id": "None"}
r,l,t
-13.162584,73,16.838984
-11.735905,67,16.883374
-12.836058,96,16.906467
-12.635803,69,16.945018
-12.401228,74,16.948581
-11.576839,68,17.005401
-13.312799,82,17.006932
-11.936207,67,17.045619
-13.642208,72,17.057478
-11.912759,67,17.117553
-11.793496,79,17.134655
-12.231328,70,17.167827
-12.204065,83,17.175143
-11.940447,68,17.217682
-12.824354,66,17.230283
-12.133373,65,17.27193
-13.300383,81,17.285836
-12.770154,73,17.331351
-12.4207535,66,17.334952
-12.5972,72,17.392262
-12.901817,76,17.417441
-13.0043545,74,17.45425
-12.413391,86,17.474494
-12.473797,69,17.499927
-11.850142,68,17.520288
-12.243442,89,17.590694
-13.167807,75,17.590782
-12.394722,73,17.609548
-12.604145,72,17.627236
-12.296032,67,17.693151
-12.946531,79,17.716915
-11.700139,76,17.733582
-12.868284,69,17.743003
-11.710882,70,17.909622
-12.620396,83,17.912477
-11.970722,67,17.929325
-12.968708,96,17.958557
-12.654842,82,18.025262
-13.333963,84,18.047169
-14.065507,96,18.047215
-12.556806,74,18.071256
-11.787277,66,18.126235
-12.569822,65,18.148182
-12.831224,76,18.165882
-12.703562,73,18.181782
-12.51103,66,18.230906
-12.677015,63,18.265032
-11.692287,59,18.272825
-11.650205,81,18.274975
-11.932792,65,18.322569
-12.370497,70,18.363384
-12.527826,71,18.37669
-14.093418,81,18.389384
-12.843567,72,18.43148
-12.152336,61,18.463736
-12.014868,71,18.466374
-12.279302,71,18.493637
-14.383944,80,18.551311
-11.961881,70,18.577825
-12.956234,91,18.610966
-12.707158,75,18.612419
-12.339797,67,18.654123
-11.7718725,60,18.665604
-12.734105,66,18.713198
-12.956525,75,18.725231
-13.925679,71,18.769642
-12.808487,81,18.796078
-12.333212,74,18.83339
-12.087134,79,18.851674
-11.552573,63,18.86649
-12.275053,65,18.896681
-11.62401,55,18.918263
-11.576139,62,18.972821
-12.131823,76,18.97912
-12.203994,64,19.029712
-12.043952,81,19.037028
-12.057108,77,19.09764
-13.642515,90,19.11928
-11.998565,68,19.145276
-12.051763,79,19.1569
-12.374699,74,19.221122
-12.204995,70,19.229297
-12.917767,78,19.279941
-12.637601,95,19.298505
-14.385514,80,19.348836
-11.886098,82,19.358136
-12.511446,72,19.390956
-12.469748,65,19.39528
-12.451511,71,19.540967
-12.200676,68,19.54674
-12.011684,73,19.58028
-12.98784,76,19.58832
-12.906996,65,19.633686
-12.4853115,61,19.633723
-12.437893,72,19.68978
-13.112806,74,19.702022
-11.895752,68,19.734994
-12.613263,71,19.739088
-12.518762,77,19.800188
-11.859255,84,19.8245
-13.075986,72,19.839266
-12.714301,98,19.876144
-12.560686,71,19.895422
-12.329248,85,19.934608
-12.939732,95,19.963915
-12.071947,71,19.971478
-12.372849,69,19.989907
-11.896997,56,20.014568
-12.087801,87,20.090065
-12.598813,70,20.092837
-12.253692,58,20.098349
-13.141991,99,20.113721
-11.592399,70,20.194341
-13.438604,79,20.198657
-11.958866,78,20.20028
-11.989172,80,20.223835
-11.630978,62,20.287042
-11.866385,66,20.287098
-12.779512,86,20.317914
-13.128508,83,20.340162
-11.428122,58,20.367327
-11.560087,58,20.367381
-12.484543,63,20.403375
-11.908974,66,20.457408
-12.75839,87,20.45886
-13.133907,70,20.463097
-12.656902,63,20.490924
-11.976496,67,20.550918
-12.298447,64,20.579143
-13.038872,93,20.590278
-12.4711,101,20.596391
-12.080487,67,20.64655
-12.1860895,74,20.68529
-14.040741,73,20.695477
-12.771834,84,20.717796
-13.190716,72,20.747976
-12.475358,77,20.796817
-11.768366,71,20.798869
-11.644093,60,20.804847
-12.29431,67,20.843411
-12.570711,67,20.894995
-12.406412,78,20.907827
-13.171274,92,21.05796
-15.386907,127,21.060158
-12.094271,61,21.070298
-12.295378,74,21.098675
-11.606387,65,21.161928
-12.271089,72,21.163285
-12.651281,89,21.18604
-12.450211,64,21.189639
-12.861437,72,21.267771
-13.482544,93,21.29881
-13.703097,98,21.332429
-13.729022,103,21.336463
-12.158968,75,21.373949
-12.716498,70,21.394645
-12.18902,61,21.455423
-13.751624,101,21.468414
-12.688738,99,21.469725
-12.406629,74,21.560352
-12.143121,72,21.572819
-12.405033,77,21.578646
-14.036945,133,21.581285
-12.169341,65,21.647396
-11.980345,67,21.66368
-12.372583,64,21.665229
-12.85076,76,21.685319
-12.643631,64,21.738646
-11.991345,62,21.752577
-12.025819,67,21.758037
-12.147785,69,21.781347
-12.432064,64,21.842219
-12.332325,62,21.844944
-12.348122,82,21.852724
-11.877086,73,21.881903
-11.711842,66,21.94487
-12.4712715,80,21.954879
-12.71637,79,21.956454
-12.654259,72,21.985981
-12.256565,70,22.04353
-12.294797,68,22.050282
-12.77397,88,22.075787
-12.311485,78,22.094335
-11.674283,68,22.140996
-12.249341,73,22.155703
-11.845322,76,22.188105
-12.298123,75,22.203036
-11.726375,58,22.225464
-12.199001,81,22.270002
-11.930599,71,22.287016
-11.574926,66,22.295017
-12.013124,65,22.314615
-14.1759405,84,22.385503
-12.262661,68,22.388195
-13.005973,96,22.492486
-12.408625,92,22.513326
-11.623263,55,22.535304
-12.028198,64,22.55076
-12.75294,61,22.576957
-12.5552845,77,22.642534
-11.554903,68,22.645641
-13.371726,101,22.657477
-15.687834,91,22.715996
-12.522817,67,22.755798
-11.819252,66,22.764362
-13.600113,99,22.803853
-11.782044,60,22.8111
-11.903349,66,22.866107
-11.963024,92,22.916108
-11.256502,66,22.92253
-12.373431,88,22.948697
-11.966289,59,22.959528
-11.86467,65,23.017993
-12.025994,77,23.041255
-11.945122,58,23.048334
-11.652032,66,23.049769
-11.55652,72,23.119475
-12.650068,81,23.149392
-12.988561,76,23.150728
-12.354265,79,23.153305
-11.704157,68,23.207897
-12.568785,72,23.245785
-12.528324,83,23.262954
-13.026083,98,23.287627
-13.741596,92,23.33372
-12.992301,77,23.35179
-12.113199,87,23.383029
-12.006905,75,23.438621
-13.105381,126,23.460992
-11.714744,82,23.466495
-11.665715,81,23.498989
-12.236147,66,23.532713
-12.452073,63,23.55178
-12.4298725,75,23.574718
-11.335019,58,23.580524
-12.929192,72,23.633343
-11.631816,75,23.688323
-14.211358,96,23.694869
-13.020518,88,23.712172
-12.221437,83,23.761616
-12.010195,70,23.799452
-12.7916565,83,23.811926
-12.36122,69,23.817269
-12.257982,74,23.872204
-11.418894,64,23.904479
-12.399406,68,23.914383
-12.030785,87,23.927187
-11.990881,68,24.052586
-12.497753,76,24.095072
-12.402593,70,24.107951
-12.212648,80,24.111224
-12.799211,74,24.159347
-11.36588,80,24.21103
-12.2056055,77,24.220737
-12.753109,78,24.225074
-11.506129,80,24.278488
-11.642346,64,24.307215
-11.924925,71,24.331243
-13.469725,84,24.348109
-11.554259,76,24.390214
-11.863136,58,24.393073
-12.7340555,72,24.435042
-12.533549,65,24.438951
-12.0359,62,24.481068
-11.354129,61,24.528145
-12.974161,99,24.532446
-12.2113285,68,24.534083
-12.195097,71,24.585271
-11.571013,54,24.607406
-12.855528,68,24.6378
-12.825152,82,24.661615
-12.652658,76,24.705514
-12.126319,64,24.70974
-11.789064,64,24.734635
-11.896578,72,24.812726
-12.166117,114,24.827484
-13.472006,115,24.871366
-11.96981,62,24.909858
-14.987288,128,24.913874
-11.902128,86,24.931009
-12.539266,72,24.974272
-11.6563425,75,25.026116
-12.276896,90,25.058112
-12.414269,93,25.082296
-12.022634,82,25.103873
-11.976533,69,25.133522
-11.843149,70,25.160437
-12.532383,83,25.209704
-11.3301525,72,25.216037
-11.6905,72,25.27087
-12.296522,94,25.276305
-11.885244,69,25.315779
-12.482012,82,25.328966
-11.478468,71,25.375676
-11.417935,70,25.37856
-12.33865,63,25.420578
-13.508676,101,25.45938
-11.861528,67,25.470639
-12.395815,79,25.490908
-11.427893,68,25.59601
-11.252266,71,25.656115
-12.095629,63,25.664667
-12.2762,89,25.670064
-11.394445,70,25.696562
-11.907201,76,25.78133
-12.247841,83,25.786501
-12.942397,103,25.805658
-11.546884,76,25.811427
-11.686877,72,25.880834
-12.288107,75,25.888685
-11.749314,67,25.903092
-12.703076,99,25.94637
-11.930069,68,25.988333
-11.544817,74,25.988402
-11.93197,70,26.003528
-11.969031,62,26.079504
-12.661791,100,26.092693
-12.183915,68,26.106571
-12.086985,109,26.146144
-12.291576,74,26.194281
-12.652657,84,26.197112
-11.7669525,72,26.203634
-11.447252,55,26.271316
-12.32395,108,26.292845
-12.053412,67,26.294367
-12.107997,81,26.30445
-12.356219,64,26.380929
-12.187295,95,26.40101
-12.842099,84,26.417909
-14.571165,116,26.451665
-11.271176,65,26.486885
-12.276957,90,26.502109
-12.010064,74,26.521189
-11.634594,88,26.575974
-11.695083,69,26.586862
-13.428616,65,26.594863
-12.254354,79,26.633681
-11.50914,69,26.673744
-11.10017,66,26.681808
-12.682249,70,26.697327
-11.995271,67,26.733109
-11.174209,62,26.764814
-11.384394,58,26.766185
-12.54559,71,26.838779
-11.093385,97,26.844432
-11.773647,61,26.861652
-11.537671,82,26.889598
-14.100334,73,26.942449
-11.928808,82,26.962865
-11.997076,72,26.965568
-11.229551,63,26.983413
-11.381402,53,27.101154
-12.246012,67,27.144613
-10.477255,112,27.20844
-12.283481,76,27.215702
-13.63244,115,27.232901
-11.472619,65,27.248389
-12.197576,69,27.324495
-11.568898,60,27.336093
-12.780655,83,27.364626
-14.948647,106,27.373913
-11.192203,61,27.416384
-11.509573,65,27.437615
-11.035773,70,27.472301
-12.997304,75,27.489553
-12.5047245,80,27.542861
-11.504255,59,27.564477
-11.749149,98,27.595139
-11.323005,71,27.611622
-13.275093,81,27.674529
-11.885787,82,27.694026
-11.994374,76,27.721546
-12.784746,102,27.748027
-11.472928,63,27.785492
-11.775423,67,27.814588
-12.691442,112,27.831178
-11.834297,83,27.85958
-12.499131,66,27.876435
-12.576655,67,27.910436
-11.648914,79,27.950543
-11.70036,72,27.985645
-13.313264,97,28.009028
-11.842737,68,28.01377
-11.75556,63,28.045256
-10.72397,68,28.113225
-12.382897,93,28.125961
-13.13188,79,28.13397
-12.186819,83,28.168621
-13.264846,82,28.227089
-12.262591,84,28.251366
-11.260851,65,28.258363
-13.744256,113,28.286435
-11.745084,75,28.335002
-11.991792,77,28.372281
-12.8663025,71,28.390785
-12.823265,102,28.400596
-11.374121,56,28.453802
-11.487448,87,28.467224
-12.061675,77,28.51885
-12.349739,62,28.563175
-13.404582,129,28.676046
-15.248852,120,28.724703
-14.461184,100,28.753874
-11.298365,87,28.780425
-13.259428,81,28.794153
-11.500067,64,28.844789
-14.986925,119,28.890159
-13.042,89,28.899881
-12.585308,104,28.940038
-11.660908,59,28.996044
-12.943681,107,29.008018
-12.083541,70,29.051864
-14.564627,117,29.073492
-12.351095,66,29.105188
-11.654992,86,29.123742
-11.802427,89,29.186773
-11.092649,69,29.21818
-11.83919,64,29.229224
-10.106931,100,29.230694
-11.898063,57,29.283896
-11.478969,53,29.31291
-12.254821,85,29.347393
-11.848971,54,29.360844
-14.626392,95,29.373281
-12.336161,61,29.400803
-11.640546,64,29.439545
-12.618429,86,29.494659
-11.625467,107,29.511079
-15.963045,102,29.580596
-13.499346,137,29.592528
-11.556957,85,29.631278
-11.881093,117,29.661223
-11.81617,76,29.702419
-14.297787,107,29.731741
-11.130489,59,29.74176
-11.5511675,83,29.747261
-11.327135,75,29.838198
-12.80579,71,29.847391
-12.929623,118,29.866978
-12.097118,103,29.884616
-11.299249,56,29.911603
-11.039037,62,29.928906
-12.130663,70,29.978208
-13.80403,96,29.995894
-11.957897,69,30.009386
-12.724639,73,30.032768
-11.099606,78,30.110633
-11.6691,107,30.219087
-1.3766432,74,30.224426
-13.229759,130,30.271696
-12.679318,82,30.301956
-11.609295,77,30.324104
-12.747559,86,30.332134
-13.444528,95,30.410151
-12.4702635,85,30.429854
-12.507964,85,30.451307
-14.285286,98,30.476799
-11.294173,60,30.49825
-11.998309,63,30.519592
-11.284363,82,30.573997
-11.41588,81,30.599612
-11.464331,86,30.652322
-11.606916,73,30.683774
-11.741307,132,30.697136
-11.4340315,84,30.724321
-11.59441,59,30.76816
-12.65626,87,30.776658
-12.902047,75,30.835386
-11.7879095,57,30.854921
-12.9691515,71,30.88123
-12.377855,136,30.895382
-12.764423,85,30.958108
-12.220636,93,30.986381
-12.284584,79,31.008616
-11.487909,96,31.019113
-11.662434,72,31.058421
-11.439035,59,31.094455
-11.472607,87,31.113811
-14.0590725,93,31.15221
-11.007702,74,31.165224
-12.333966,77,31.221462
