#{"t_start": 1779600975.013974, "env_id": "None"}
r,l,t
-13.051859,65,0.571082
-13.877394,69,0.578671
-14.170525,78,0.590606
-12.810617,78,0.590636
-13.774529,68,0.666705
-13.972637,73,0.667964
-13.246456,63,0.671877
-14.488962,76,0.688482
-13.562559,64,0.744152
-14.426251,73,0.749279
-13.76111,74,0.751357
-14.318464,71,0.766132
-13.736533,68,0.831457
-14.31402,70,0.831492
-14.289573,78,0.835314
-13.096248,65,0.844348
-12.947523,59,0.904059
-12.956514,64,0.906382
-14.063557,71,0.914381
-13.352024,78,0.933555
-14.148882,67,0.989367
-13.38134,78,1.005387
-13.390776,77,1.014703
-14.131823,80,1.039253
-14.248289,69,1.091774
-13.796462,84,1.094296
-13.933402,69,1.099314
-14.040896,67,1.124658
-13.16334,61,1.190306
-13.3918085,72,1.214037
-12.5296335,62,1.225976
-12.74527,84,1.226031
-11.923116,56,1.291452
-14.113703,73,1.291492
-12.709627,63,1.316133
-13.341271,69,1.324074
-13.843753,72,1.395917
-13.782778,75,1.400144
-13.529749,68,1.410773
-14.465256,78,1.431456
-12.218147,61,1.47531
-12.473873,62,1.48012
-13.762675,72,1.503244
-13.639894,73,1.527858
-13.715603,67,1.575455
-13.866313,77,1.597045
-13.898574,64,1.604733
-14.020683,65,1.628716
-14.704715,73,1.680761
-14.271693,69,1.694599
-14.083052,67,1.698216
-13.947736,72,1.737677
-13.9261265,62,1.77738
-13.265609,62,1.795453
-13.966397,67,1.809219
-12.238029,68,2.014064
-12.115643,71,2.056886
-12.806497,70,2.080431
-13.867404,82,2.085846
-14.043863,73,2.121726
-12.614441,57,2.166587
-13.300448,84,2.18111
-15.541035,67,2.186126
-12.925158,71,2.227789
-13.055155,60,2.256777
-14.145142,60,2.276174
-13.275554,66,2.279249
-14.352597,68,2.329591
-13.673787,64,2.349621
-14.17262,68,2.37491
-14.892092,69,2.379545
-15.228564,79,2.44372
-13.391123,69,2.450842
-12.806749,64,2.474527
-14.647248,72,2.480939
-14.700047,71,2.540082
-14.325581,74,2.553862
-12.731997,68,2.568664
-13.433603,66,2.574535
-13.281454,66,2.645424
-14.428745,66,2.660616
-14.261242,79,2.697693
-13.447925,77,2.699195
-13.756107,63,2.745373
-13.546516,74,2.77202
-13.111349,62,2.790861
-13.084248,75,2.809005
-14.466575,69,2.845925
-13.493379,74,2.884045
-13.464444,70,2.894925
-13.425671,65,2.904787
-13.339729,62,2.938625
-13.574976,70,2.990098
-13.063084,72,3.004422
-12.321183,73,3.021303
-12.509389,67,3.050656
-13.696112,71,3.108209
-12.609972,62,3.111063
-12.571687,69,3.139013
-13.116798,62,3.157753
-12.822445,65,3.215887
-15.005899,74,3.235254
-13.592102,64,3.244467
-13.195864,68,3.266297
-12.950322,68,3.320901
-13.075516,68,3.345347
-14.386887,75,3.348838
-13.938928,75,3.374588
-13.385473,59,3.409548
-13.574929,65,3.446903
-14.0321665,64,3.448522
-14.144474,69,3.483216
-12.895286,60,3.505956
-13.736457,64,3.635623
-13.595268,75,3.660056
-12.926293,65,3.686594
-13.283868,69,3.707867
-12.647627,69,3.746147
-14.102403,63,3.753451
-12.044008,60,3.774632
-14.348877,60,3.809014
-13.517942,63,3.850884
-13.798401,70,3.867997
-14.998991,79,3.899053
-13.923489,77,3.925357
-13.881046,64,3.951704
-13.829775,65,3.977759
-12.422893,64,4.00382
-14.102381,74,4.046568
-13.439883,68,4.078385
-15.614827,96,4.0962
-15.974714,82,4.121042
-14.37178,66,4.136851
-14.593163,75,4.215074
-13.251174,63,4.226645
-15.109641,102,4.235233
-13.3748865,67,4.246339
-14.159455,66,4.319732
-13.426795,77,4.325057
-13.14123,68,4.330187
-13.794896,72,4.351005
-14.372141,63,4.418953
-14.114805,69,4.433264
-14.9230175,76,4.452547
-13.68207,78,4.470952
-13.559282,76,4.532757
-12.89686,62,4.541977
-14.416892,82,4.557163
-12.885347,63,4.566007
-12.364194,65,4.629807
-12.629465,74,4.654144
-15.309982,75,4.676108
-12.754317,70,4.677746
-14.386937,69,4.738026
-13.106662,66,4.755159
-13.922367,68,4.777591
-13.990138,78,4.792234
-12.963345,63,4.837469
-14.775469,65,4.881372
-13.480295,62,4.892256
-14.77821,85,4.893716
-13.743332,61,4.931569
-13.653085,62,4.981819
-14.330896,74,4.990648
-12.90643,75,5.004691
-14.751242,69,5.036777
-13.11789,59,5.06949
-12.834589,72,5.109499
-12.776755,71,5.119276
-14.166368,62,5.133735
-14.304152,74,5.28807
-13.442381,67,5.30668
-13.897646,65,5.313361
-12.789666,66,5.333956
-13.746503,65,5.393495
-12.994505,72,5.42359
-13.414898,71,5.428642
-13.378015,73,5.452232
-13.70343,65,5.486348
-13.348045,63,5.514959
-13.829052,70,5.519849
-12.835787,67,5.540369
-12.632239,65,5.615772
-13.178421,66,5.625458
-14.263529,91,5.627427
-13.123855,81,5.676117
-12.645377,71,5.732938
-13.290648,74,5.748708
-13.091125,74,5.751157
-13.984441,72,5.792336
-13.369757,68,5.83787
-12.361771,65,5.844892
-13.929766,68,5.847589
-13.5636,61,5.877968
-12.001486,68,5.940847
-14.743715,68,5.946029
-14.055077,81,5.955424
-14.563425,84,6.000478
-12.467303,61,6.034937
-14.372595,78,6.075631
-14.478231,88,6.081964
-14.916011,67,6.107802
-13.52907,63,6.137404
-13.75537,64,6.17309
-13.136271,62,6.176215
-12.801468,71,6.212202
-13.172705,56,6.218535
-12.95673,59,6.268236
-12.746543,72,6.284884
-13.821209,64,6.321112
-13.071177,74,6.331028
-14.166981,74,6.389019
-13.92125,67,6.396909
-13.133397,66,6.435184
-13.311998,81,6.472624
-13.146643,61,6.496323
-13.970022,80,6.535707
-13.270174,61,6.538764
-11.812226,65,6.579681
-13.622025,70,6.605682
-13.097291,64,6.633523
-13.401083,80,6.656382
-12.8692875,68,6.687304
-13.586173,74,6.723811
-14.951047,73,6.754289
-13.686419,61,6.757672
-12.82639,74,6.808621
-13.936522,74,6.950998
-13.043629,65,6.96484
-14.79486,68,6.973263
-13.58646,61,7.00937
-13.640278,68,7.05998
-13.871212,69,7.072731
-13.115931,66,7.075095
-13.101283,70,7.104042
-13.176648,66,7.139143
-12.071989,62,7.146893
-13.076381,76,7.172704
-13.157353,67,7.200027
-13.252017,73,7.260318
-14.077694,81,7.26316
-14.828735,79,7.294338
-13.139225,74,7.311126
-13.384443,59,7.34963
-13.134246,67,7.362892
-13.640862,65,7.388845
-12.921953,72,7.416968
-13.612331,69,7.452734
-12.981192,65,7.461064
-12.94294,74,7.498813
-13.203859,70,7.522754
-14.42969,74,7.558689
-13.118048,75,7.572645
-13.255046,71,7.607696
-13.431533,82,7.64817
-13.527433,63,7.657517
-12.824767,59,7.66176
-13.012401,78,7.722868
-12.960987,61,7.751224
-13.726096,74,7.757447
-12.25818,70,7.763685
-13.967195,70,7.829204
-13.757757,65,7.852421
-12.920878,73,7.859581
-12.043483,72,7.866441
-13.040767,73,7.926492
-12.895586,60,7.931571
-12.7873125,63,7.948178
-13.284859,70,7.967855
-12.935109,72,8.043809
-13.649582,65,8.054051
-14.02084,80,8.06687
-14.350334,72,8.082452
-13.288364,65,8.150416
-13.214233,61,8.155096
-13.863281,75,8.158001
-13.003003,70,8.189373
-13.202221,73,8.258312
-14.628958,70,8.262079
-14.236573,76,8.26757
-14.395237,66,8.282938
-12.49982,69,8.358775
-13.1015415,65,8.361853
-13.833198,73,8.368216
-13.125081,73,8.388905
-12.996519,67,8.537693
-13.457989,75,8.554231
-13.622196,77,8.564948
-12.795044,67,8.573367
-12.933081,70,8.645703
-14.563765,68,8.657071
-13.93503,71,8.670776
-13.868235,68,8.673956
-12.875678,59,8.744591
-13.414814,79,8.761581
-13.055334,65,8.766094
-12.730152,72,8.780979
-12.617124,57,8.847021
-12.565399,73,8.852981
-12.894342,61,8.870175
-12.891689,71,8.871692
-12.90406,65,8.946388
-13.222843,80,8.96284
-12.508438,72,8.979609
-15.296751,89,9.002293
-11.863101,64,9.04105
-12.558212,69,9.062917
-12.757362,68,9.073919
-13.248217,82,9.116849
-13.462308,68,9.138782
-14.34556,76,9.174062
-12.762156,73,9.182541
-12.589595,64,9.209166
-12.651307,72,9.23734
-13.271906,65,9.268023
-13.712357,73,9.271637
-13.614062,62,9.291132
-12.420195,72,9.334049
-12.816305,61,9.353255
-12.562478,71,9.363493
-12.94881,63,9.37669
-13.502396,86,9.453802
-14.111834,78,9.462249
-14.335157,77,9.471202
-13.966564,76,9.483978
-12.012785,60,9.539164
-12.573004,64,9.579556
-13.030304,80,9.581181
-12.929548,91,9.607717
-14.143311,75,9.654059
-13.338263,70,9.685591
-14.124388,75,9.691232
-13.134521,71,9.714003
-12.693398,60,9.748086
-12.877179,68,9.798045
-14.395791,80,9.810947
-12.281114,68,9.819936
-13.679342,78,9.867363
-13.1923065,72,9.906926
-12.73329,75,9.923071
-13.330002,58,9.953852
-13.589721,99,9.965895
-13.390967,69,10.082782
-14.256262,73,10.104872
-12.505927,69,10.128566
-12.851748,69,10.14286
-12.983611,71,10.190082
-12.423321,78,10.22311
-13.25962,70,10.235879
-13.613694,64,10.24174
-11.998201,60,10.275525
-13.414177,71,10.321938
-13.357095,69,10.335765
-11.991684,77,10.341361
-12.695949,81,10.390019
-12.726317,70,10.420429
-12.535582,67,10.430215
-12.108133,71,10.441903
-13.168974,65,10.480129
-12.749854,64,10.508375
-12.309509,66,10.520744
-13.283973,66,10.53177
-12.962542,70,10.578938
-13.013265,64,10.614795
-13.316655,77,10.620541
-13.103028,71,10.635285
-11.911966,70,10.686088
-12.814854,67,10.718716
-13.354013,65,10.722074
-12.5280285,81,10.760597
-12.754445,64,10.781357
-13.217382,71,10.827374
-13.137556,74,10.83656
-14.064404,67,10.865802
-12.782072,59,10.926179
-12.981818,72,10.936804
-14.213592,105,10.948669
-13.376139,81,10.988588
-12.957142,65,11.03373
-12.099594,62,11.037493
-12.87156,77,11.040534
-12.747755,72,11.091249
-13.591852,67,11.125894
-12.83902,66,11.129919
-12.609791,71,11.136012
-12.987786,61,11.182473
-12.555983,64,11.223786
-12.003009,63,11.227586
-12.885236,75,11.249199
-13.462211,63,11.272438
-12.61482,72,11.330912
-13.318965,78,11.336478
-13.514983,70,11.348543
-12.374955,67,11.368454
-12.416612,61,11.415869
-13.192423,74,11.440355
-13.077896,78,11.458225
-12.692812,90,11.494538
-13.6719885,65,11.585456
-12.589779,70,11.623712
-14.063105,89,11.668133
-12.86424,64,11.66973
-13.0721445,75,11.698974
-11.829838,53,11.699005
-12.122953,65,11.765429
-13.532495,83,11.79171
-13.168228,63,11.793537
-13.373212,77,11.81553
-12.776737,75,11.886898
-12.542566,69,11.904799
-12.995397,70,11.907482
-12.059384,70,11.927266
-13.303667,65,11.985099
-12.6567545,67,12.006186
-13.2685,76,12.017925
-13.549866,86,12.059828
-12.981228,69,12.0931
-13.251596,64,12.115299
-13.480505,76,12.121502
-13.25754,79,12.177841
-12.774096,71,12.198879
-12.937538,65,12.213135
-14.323265,85,12.252437
-12.397048,79,12.302613
-12.124577,70,12.308285
-12.404753,71,12.327045
-13.092203,77,12.372661
-13.100525,71,12.414747
-12.949925,64,12.423057
-13.692789,94,12.446915
-12.814412,68,12.480878
-12.468956,65,12.524909
-12.521236,81,12.539476
-13.760515,88,12.57546
-13.1729355,67,12.575501
-12.67644,72,12.629458
-12.669853,85,12.6622
-13.379905,65,12.670218
-12.706606,76,12.690427
-12.337704,68,12.730351
-12.330824,55,12.761751
-12.1887,76,12.79161
-12.589572,66,12.801992
-12.925143,61,12.833504
-13.1993475,64,12.892242
-14.049324,78,12.903113
-14.718655,113,12.931225
-13.247069,70,12.932713
-12.602532,63,12.981513
-11.920312,63,12.992136
-13.399026,70,13.03084
-12.51408,57,13.063338
-12.87307,93,13.064681
-12.584705,62,13.077387
-11.501756,66,13.201539
-12.314457,70,13.240975
-12.59349,64,13.247905
-13.108856,86,13.264099
-12.463222,61,13.292462
-13.362567,75,13.351575
-11.620224,69,13.365324
-13.115435,80,13.366798
-14.176195,68,13.386408
-11.923054,68,13.461049
-12.870972,70,13.462485
-12.8415985,85,13.469694
-14.047306,80,13.497721
-12.711998,61,13.547931
-12.610485,79,13.575483
-12.725529,74,13.577133
-12.404171,63,13.592145
-12.387312,77,13.675064
-12.290223,62,13.685394
-12.668182,66,13.691391
-13.524954,80,13.729542
-11.552461,66,13.803102
-12.677593,70,13.805312
-11.949891,76,13.807778
-12.731583,75,13.856637
-12.568351,58,13.895649
-13.19677,71,13.910761
-13.337689,70,13.912127
-14.177528,91,13.990251
-12.702383,67,13.991746
-12.778606,76,14.021674
-13.151386,80,14.029634
-11.676923,63,14.079348
-13.36897,72,14.093024
-12.18248,71,14.131825
-12.782312,79,14.136566
-12.4409075,66,14.174908
-12.480898,64,14.185464
-12.442405,71,14.231531
-12.729067,78,14.246842
-12.211246,64,14.277135
-13.260598,86,14.29689
-13.5714855,66,14.327274
-12.682271,70,14.346614
-13.958736,76,14.390621
-12.367271,63,14.392102
-13.314999,75,14.441839
-13.291726,75,14.463287
-12.836071,67,14.49113
-12.839353,78,14.507816
-12.783865,74,14.55036
-12.91029,64,14.556407
-12.735557,63,14.601806
-12.034637,74,14.604275
-12.087975,57,14.638874
-12.565865,74,14.670985
-12.422232,62,14.781935
-12.206293,79,14.808666
-12.443523,68,14.826523
-12.778554,69,14.856371
-13.366062,76,14.891538
-12.51539,69,14.908673
-11.956059,60,14.911313
-11.954801,73,14.960658
-12.473441,70,14.991558
-13.309368,76,15.019259
-12.117047,79,15.020889
-12.8818245,85,15.081847
-12.699211,68,15.088549
-12.415487,64,15.109096
-13.886522,96,15.152263
-12.23748,63,15.164651
-12.4286,84,15.197777
-11.808239,80,15.215272
-12.651464,74,15.25223
-13.2292185,64,15.252266
-12.383108,68,15.292662
-12.956715,78,15.319116
-12.540079,65,15.338395
-18.5896,82,15.362009
-12.907038,73,15.391606
-12.249586,76,15.427041
-13.068434,78,15.449636
-12.377947,63,15.452458
-13.308392,70,15.491365
-12.924318,82,15.541242
-12.14774,65,15.542616
-12.966116,70,15.546693
-14.0624485,78,15.598048
-13.043816,69,15.639032
-12.957035,69,15.640569
-12.643458,67,15.641896
-12.29234,73,15.702845
-11.958804,61,15.724085
-12.004959,61,15.728062
-12.891306,74,15.745156
-12.991003,81,15.817485
-13.000055,71,15.827274
-12.72269,78,15.834658
-11.752957,68,15.841967
-11.870353,62,15.913474
-11.774867,66,15.928798
-12.974459,82,15.960656
-12.334995,80,15.96371
-12.736013,76,16.0258
-12.782966,67,16.02987
-12.114163,65,16.058318
-11.248646,85,16.092424
-12.408192,59,16.118294
-12.564898,59,16.121627
-12.228317,68,16.161095
-12.144593,69,16.27803
-13.020484,61,16.289073
-12.475168,68,16.301647
-12.461369,81,16.360054
-11.76364,56,16.380014
-11.847793,75,16.382537
-12.296278,74,16.39355
-12.025617,61,16.446295
-12.737962,68,16.478132
-12.697705,68,16.481292
-13.059175,65,16.4883
-12.426525,68,16.552125
-11.6473255,60,16.575311
-12.404135,72,16.600244
-12.816927,93,16.618455
-12.642652,64,16.643201
-12.378695,59,16.659588
-13.769981,84,16.715692
-12.920241,80,16.732189
-13.406702,85,16.761024
-13.064746,90,16.78146
-13.09662,82,16.834701
